title,url,channel,duration,views,publish_time,description,thumbnail
New York USA. The largest city in America,https://www.youtube.com/watch?v=dxsawQOQ9lU,CoolVision,41m 48s,"7,905,475 views",2021-11-09T15:12:15Z,They call it the capital of the world. Let's see what it's really like. Pros & Cons of Living in NYC 0:00 Beginning 1:29 History of New ...,https://i.ytimg.com/vi/dxsawQOQ9lU/hqdefault.jpg
"My NYC Apartment Tour: $1,875/Month in Manhattan",https://www.youtube.com/watch?v=2ABFuMGkp9k,Taylor Bell,15m 44s,"6,692,507 views",2022-03-22T14:15:00Z,Welcome to my ~long awaited~ OFFICIAL NYC APARTMENT TOUR! Insta @taykbell → https://www.instagram.com/taykbell/ ...,https://i.ytimg.com/vi/2ABFuMGkp9k/hqdefault.jpg
"Grad student spends $7,000 living in NYC",https://www.youtube.com/watch?v=nR-PuPb_yVw,Suleyman Dolaev,1m 1s,"6,171,741 views",2024-09-09T17:42:46Z,,https://i.ytimg.com/vi/nR-PuPb_yVw/hqdefault.jpg
"alone in NEW YORK CITY 🏙️ | what i eat, exploring the city + subway surfin’",https://www.youtube.com/watch?v=HLDPA3FTUJ4,Julia Huynh,29m 37s,"2,431,047 views",2024-06-15T16:00:10Z,hi! come join me on my adventure to NEW YORK freaking CITY all by myself! i have so much fun exploring the city and trying new ...,https://i.ytimg.com/vi/HLDPA3FTUJ4/hqdefault.jpg
NYC VLOG: Day in the Life Exploring the City and Living my Best Life,https://www.youtube.com/watch?v=Cqg8tQH4U8M,Taylor Bell,13m 38s,"2,240,939 views",2024-03-22T15:51:19Z,Join me as I absolutely gallivant around the best city in the world. Be the first ones on the email list!,https://i.ytimg.com/vi/Cqg8tQH4U8M/hqdefault.jpg
New York City Vacation Travel Guide | Expedia,https://www.youtube.com/watch?v=MtCMtC50gwY,Expedia,6m 1s,"12,857,067 views",2013-03-07T02:05:38Z,"New York City needs no introduction. Sitting at the top of many travelers' bucket lists, NYC is always poised to impress. Check out ...",https://i.ytimg.com/vi/MtCMtC50gwY/hqdefault.jpg
COMPLETE NYC Travel Guide: 2024/2025 BEST Attractions + Tourist Tips (Full Documentary),https://www.youtube.com/watch?v=IiVrZUNAz9Y,Jon Barr,2h 6m,"187,100 views",2024-03-13T15:12:26Z,"If you're visiting New York in 2024... in this Guide we'll update you on the best attractions, new things to do, and updated ...",https://i.ytimg.com/vi/IiVrZUNAz9Y/hqdefault.jpg
The Official 2024/2025 Travel Guide to New York City,https://www.youtube.com/watch?v=_USO9sTVNe0,Sarah Funk,2h 36m 4s,"152,195 views",2024-06-06T16:00:27Z,Get my NYC guides & itineraries! https://sarahfunky.co/NYCguidesCollection Book my tours: https://bit.ly/FunkyExperiences ...,https://i.ytimg.com/vi/_USO9sTVNe0/hqdefault.jpg
NYC Nightlife Guide: BEST Rooftop &amp; Cocktail Bars 2024!,https://www.youtube.com/watch?v=dWe_YFc6u4k,Jon Barr,11m 37s,"135,351 views",2022-11-28T16:00:08Z,We'll visit 3 NYC Bars ranked in the World's Best 50 List in this New York Nightlife guide! Put My Channel In Your Pocket!,https://i.ytimg.com/vi/dWe_YFc6u4k/hqdefault.jpg
Escape to New York: Your Ultimate 5-Day Itinerary | Travel Guide 2024,https://www.youtube.com/watch?v=HJc_lWcD_nQ,Exploring our earth,17m 5s,"76,523 views",2023-12-21T21:11:16Z,"Are you searching for the best things to do in New York City? In this 5 day itinerary and travel guide we go to Central Park, Hudson ...",https://i.ytimg.com/vi/HJc_lWcD_nQ/hqdefault.jpg
